WORKERS: "gpu01-ib:5555","gpu02-ib:5555"
Start at Sun Feb 14 03:27:28 EET 2021
CUDA_VISIBLE_DEVICES: 0,1
Running on hosts: gpu[01-02]
Running on 2 nodes.
Running 2 tasks per node
Job id is 1095025
1: Number of devices per node: 2
2: Number of devices per node: 2
0: Number of devices per node: 2
3: Number of devices per node: 2
3: 
0: rank 0
2: rank 2
1: rank 1
3: rank 3
1: => creating model 'resnet50'
0: => creating model 'resnet50'
3: => creating model 'resnet50'
2: => creating model 'resnet50'
0: Epoch 83/90 - 61.937s
1: Epoch 84/90 - 62.028s
2: Epoch 84/90 - 62.028s
3: Epoch 84/90 - 62.028s
0: Epoch 84/90 - 62.028s
1: Epoch 85/90 - 61.948s
2: Epoch 85/90 - 61.948s
3: Epoch 85/90 - 61.948s
0: Epoch 85/90 - 61.948s
1: Epoch 86/90 - 61.873s
2: Epoch 86/90 - 61.873s
3: Epoch 86/90 - 61.873s
0: Epoch 86/90 - 61.874s
1: Epoch 87/90 - 61.746s
2: Epoch 87/90 - 61.746s
3: Epoch 87/90 - 61.746s
0: Epoch 87/90 - 61.746s
1: Epoch 88/90 - 61.900s
2: Epoch 88/90 - 61.900s
3: Epoch 88/90 - 61.900s
0: Epoch 88/90 - 61.900s
1: Epoch 89/90 - 62.386s
1: Steps per epoch: 196
1: Validation steps per epoch: 157
2: Epoch 89/90 - 62.386s
2: Steps per epoch: 196
2: Validation steps per epoch: 157
1: Average time per epoch: 62.330 s
3: Epoch 89/90 - 62.386s
3: Steps per epoch: 196
3: Validation steps per epoch: 157
2: Average time per epoch: 62.330 s
0: Epoch 89/90 - 62.386s
3: Average time per epoch: 62.330 s
0: Steps per epoch: 196
0: Validation steps per epoch: 157
0: Average time per epoch: 62.330 s
1: --- 5613.265020608902 seconds ---
2: --- 5613.252663135529 seconds ---
0: --- 5613.2671620845795 seconds ---
3: --- 5613.2340450286865 seconds ---
ELAPSED: 5614 seconds
End at Sun Feb 14 05:01:02 EET 2021
